Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Fully specified name:es,Short name:es,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000038,,,Treatment plan,,,,,,Plan de tratamiento,Plan de tratamiento,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000039,,,Rest duration,,,,,,Duracion del reposo,Duracion del reposo,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000040,,,Comments,Comments,,,,,Comentarios,Comentarios,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000041,,,Referring to Hospital,Referring to Hospital,,,,,Referido al hospital,Referido al hospital,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000042,,,Referred to,Referred to,,,,,Referido a,Referido a,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000043,,,Relevant clinical history,Relevant clinical history,,,,,Historia clinica relevante,Historia clinica relevante,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000044,,,Treatment provided,Treatment provided,,,,,Tratamiento proporcionado,Tratamiento proporcionado,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000045,,,Referred to Doctor,Referred to Doctor,,,,,Referido al medico,Referido al medico,,Misc,Text,,,,,,,,,,,
631f9e92-b15f-41da-a6ba-4f4cd67f36b7,,,Blood Pressure,Blood Pressure,,,,,Presion arterial,Presion arterial,,Misc,N/A,,,CIEL:5085;CIEL:5086;CIEL:159633;,,,,,,,,
da47a35d-5806-48b7-b467-e29902759491,,,Chief Complaint Record,Chief Complaint Record,,,,,Registro del motivo principal de consulta,Registro del motivo principal de consulta,,Misc,N/A,,,9bb0795c-4ff0-0305-1990-000000000002;CIEL:160531;CIEL:1731;9bb0795c-4ff0-0305-1990-000000000003;,,,,,,,,
