Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Fully specified name:es,Short name:es,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000034,,,Injection,,,,,,Inyeccion,Inyeccion,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000035,,,Drops,,,,,,Gotas,Gotas,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000036,,,Jelly,,,,,,Jalea,Jalea,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000037,,,Pessary,,,,,,Pesario,Pesario,,Misc,N/A,,,,,,,,,,,
