Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
0001fdca-769d-47e4-8397-1c73c8bad34b,,,Biochemistry Department,,Departamento de bioquimica,Biochemistry,,Bioquimica,,,,Department,N/A,,,,,,,,,,,
50975c1d-ae6a-4e8a-90cd-172a1e55156c,,,Pathology Department,,Departamento de patologia,Pathology,,Patologia,,,,Department,N/A,,,,,,,,,,,
2c87f0c0-9b9b-4c8b-ae96-20e6361f21d5,,,Haematology Lab Department,,Departamento de laboratorio de hematologia,Haematology,,Hematologia,,,,Department,N/A,,,,,,,,,,,
5a950b75-e24c-438d-9e64-5795c6cb921b,,,Histopathology Department,,Departamento de histopatologia,Histopathology,,Histopatologia,,,,Department,N/A,,,,,,,,,,,
af18babe-99b0-44f4-ac7a-88b3d91a0c2a,,,Serology Department,,Departamento de serologia,Serology,,Serologia,,,,Department,N/A,,,,,,,,,,,
3c3ba267-033d-4433-abd6-49adce15e315,,,Microbiology Department,,Departamento de microbiologia,Microbiology,,Microbiologia,,,,Department,N/A,,,,,,,,,,,
