Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000010,,,"Diabetes, Diabetes Type",Diabetes type,"Diabetes, tipo de diabetes",,,,,,,Diagnosis,Coded,,CIEL:142474;CIEL:142473,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000011,,,"Diabetes, Last known A1C Result",Last known A1C Result,"Diabetes, ultimo resultado conocido de A1C",,,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000012,,,"Diabetes, Last HbA1c Date",Last HbA1c Date,"Diabetes, fecha del ultimo HbA1c",,,,,,,Misc,Date,,,,,,,,,,,
81838fef-7c3b-43ab-82d5-7f6c7cccd697,,,"Diabetes, Intake",,"Diabetes, ingreso",Diabetes – Intake,,Diabetes - ingreso,,,,Misc,N/A,,,CIEL:164093;Diagnosis Certainty;9bb0795c-4ff0-0305-1990-000000000010;9bb0795c-4ff0-0305-1990-000000000012;9bb0795c-4ff0-0305-1990-000000000011;1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;CIEL:162747;CIEL:140228;CIEL:160618;CIEL:161262;CIEL:163201;9bb0795c-4ff0-0305-1990-000000000013;CIEL:165595;CIEL:159449;CIEL:166361;CIEL:159456,,,,,,,,
